nationality_en;nationality_es;photo_locality;photo_country_en;photo_country_es;date
Spain;España;Varanasi;India;India;01/08/2016
Spain;España;Varanasi;India;India;01/08/2016
Bulgaria;Bulgaria;Gorno Lukovo;Bulgaria;Bulgaria;01/07/2015
Bulgaria;Bulgaria;Gorno Lukovo;Bulgaria;Bulgaria;01/07/2015
Bulgaria;Bulgaria;Gorno Lukovo;Bulgaria;Bulgaria;01/07/2015
Spain;España;Salvador de Bahía;Brazil;Brasil;01/07/2015
Spain;España;Salvador de Bahía;Brazil;Brasil;01/07/2015
Portugal;Portugal;Jardim Gramacho, Río de Janeiro ;Brazil;Brasil;2015
Portugal;Portugal;Jardim Gramacho, Río de Janeiro ;Brazil;Brasil;2015
Portugal;Portugal;Jardim Gramacho, Río de Janeiro ;Brazil;Brasil;2015
Brazil;Brasil;Morro do Vidigal, Río de Janeiro;Brazil;Brasil;2013
Brazil;Brasil;Morro do Vidigal, Río de Janeiro;Brazil;Brasil;2013
Brazil;Brasil;Morro Santo Amaro, Río de Janeiro;Brazil;Brasil;2017
Brazil;Brasil;Pinhais;Brazil;Brasil;23/03/2017
Brazil;Brasil;Pinhais;Brazil;Brasil;23/03/2017
Brazil;Brasil;Pinhais;Brazil;Brasil;23/03/2017
Spain;España;Chaungtha;Myanmar;Birmania;01/09/2012
Spain;España;Tatasomba;Benin;Benín;01/09/2014
Italy;Italia;Guayaquil ;Ecuador;Ecuador;12/07/2015
Italy;Italia;Guayaquil ;Ecuador;Ecuador;19/07/2015
Italy;Italia;Chamanga;Ecuador;Ecuador;21/08/2016
Spain;España;Río de Janeiro ;Brazil;Brasil;2014
Spain;España;Hebrón;West Bank;Cisjordania;2012
Spain;España;Medellín;Colombia;Colombia;2016
Turkey;Turquía;Mavişehir, Izmir;Turkey;Turquía;23/03/2017
Turkey;Turquía;Mavişehir, Izmir;Turkey;Turquía;23/03/2017
Bolivia;Bolivia;Valle de Cinti - Camargo, Chuquisaca ;Bolivia;Bolivia;01/04/2015
Bolivia;Bolivia;Valle de Cinti - Camargo, Chuquisaca ;Bolivia;Bolivia;01/08/2015
Bolivia;Bolivia;Cercado - San Andrés , Tarija;Bolivia;Bolivia;01/07/2016
Turkey;Turquía;Ceske Budejovice;Czech Republic;República Checa;01/02/2016
Turkey;Turquía;Bremen;Germany;Alemania;01/04/2016
Turkey;Turquía;Budapest;Hungary;Hungría;01/05/2016
Argentina;Argentina;Villa Urquiza;Argentina;Argentina;23/03/2017
Argentina;Argentina;Villa Urquiza;Argentina;Argentina;23/03/2017
Italy;Italia;Mathare Slum. Nairobi ;Kenya;Kenia;01/08/2011
Italy;Italia;Mathare Slum. Nairobi ;Kenya;Kenia;01/08/2011
Italy;Italia;Mathare Slum. Nairobi ;Kenya;Kenia;01/08/2011
Spain;España;Mumbai ;India;India;01/09/2015
Spain;España;Mumbai ;India;India;01/09/2015
Spain;España;Mumbai ;India;India;01/09/2015
Spain;España;La Paz ;Bolivia;Bolivia;25/03/2016
Spain;España;Tinejdad;Morocco;Marruecos;01/09/2011
Brazil;Brasil;;Brazil;Brasil;
Brazil;Brasil;;Brazil;Brasil;
Brazil;Brasil;;Brazil;Brasil;
Spain;España;Siem Reap;Cambodia;Camboya;22/07/2015
Spain;España;Can Tho;Vietnam;Vietnam;22/07/2015
Spain;España;Siem Reap;Cambodia;Camboya;22/07/2015
Spain;España;Cerro de San Cosme, Lima;Peru;Perú;23/10/2012
Spain;España;Lomas de Carabayllo, Lima;Peru;Perú;11/11/2012
Spain;España;Punta Negra, Lima;Peru;Perú;02/10/2012
Italy;Italia;Kinsasa;DR Congo;RD Congo;2015
Italy;Italia;Kinsasa;DR Congo;RD Congo;2015
Italy;Italia;Kinsasa;DR Congo;RD Congo;2015
Mexico;México;Ecatepec de Morelos;Mexico;México;23/03/2017
Mexico;México;Ecatepec de Morelos;Mexico;México;23/03/2017
Mexico;México;Ecatepec de Morelos;Mexico;México;23/03/2017
Bolivia;Bolivia;La Paz;Bolivia;Bolivia;23/03/2017
Bolivia;Bolivia;La Paz;Bolivia;Bolivia;23/03/2017
Bolivia;Bolivia;La Paz;Bolivia;Bolivia;23/03/2017
India;India;Pushkar, Rajathan;India;India;12/11/2011
India;India;Jaisalmer, Rajasthan;India;India;11/02/2016
India;India;Ahmedabad;India;India;02/02/2014
Venezuela;Venezuela;La Habana;Cuba;Cuba;01/12/2016
India;India; Mumbai;India;India;23/03/2017
India;India; Mumbai;India;India;23/03/2017
India;India; Mumbai;India;India;23/03/2017
Turkey;Turquía;Harrán, Sanliurfa;Turkey;Turquía;
Turkey;Turquía;Taskale, Karaman;Turkey;Turquía;
Turkey;Turquía;Taskale, Karaman;Turkey;Turquía;
Mexico;México;Michoacán;Mexico;México;01/01/2015
Mexico;México;Michoacán;Mexico;México;01/01/2015
Mexico;México;Michoacán;Mexico;México;01/01/2015
Mexico;México;Tonalá Jalisco;Mexico;México;2013
Bulgaria;Bulgaria;Matera;Italy;Italia;01/02/2016
Mexico;México;Iztapalapa, Ciudad de México;Mexico;México;11/02/2017
Mexico;México;Metro Pantitlan, Ciudad de México;Mexico;México;11/02/2017
Mexico;México;Chimalhuacán, Ciudad de México;Mexico;México;21/04/2015
Spain;España;Cádiz;Spain;España;2016
Spain;España;Cádiz;Spain;España;2016
Spain;España;Cádiz;Spain;España;2016
Germany;Alemania;El desierto del Namib;Namibia;Namibia;21/04/2014
Germany;Alemania;Ciudad del Cabo;South Africa;Sudáfrica;21/05/2014
Germany;Alemania;Antofagasta;Chile;Chile;26/11/2016
Spain;España;Ciudad Les Cayes;Haiti;Haití;11/01/2017
Spain;España;Tiburón, Región de Cayes;Haiti;Haití;11/01/2017
Spain;España;Pueblo de la región de Cayes;Haiti;Haití;11/01/2017
Spain;España;Bangkok;Thailand;Tailandia;23/03/2017
Spain;España;Bangkok;Thailand;Tailandia;23/03/2017
Spain;España;Bangkok;Thailand;Tailandia;23/03/2017
Spain;España;Rehoboth;Namibia;Namibia;22/07/2017
Spain;España;Epupa Falls;Namibia;Namibia;22/07/2017
Turkey;Turquía;Seferihisar,  İzmir;Turkey;Turquía;01/09/2016
Turkey;Turquía;Tire, İzmir;Turkey;Turquía;01/08/2016
Turkey;Turquía;Venecia;Italy;Italia;01/07/2015
Turkey;Turquía;Ankara, Ulus;Turkey;Turquía;22/02/2017
Italy;Italia;Pokhara;Nepal;Nepal;01/01/2016
Italy;Italia;Sankhu;Nepal;Nepal;01/01/2016
Italy;Italia;Patan;Nepal;Nepal;01/01/2016
Italy;Italia;Nardò, Puglia ;Italy;Italia;01/05/2016
Italy;Italia;Nardò, Puglia ;Italy;Italia;01/05/2016
Italy;Italia;Nardò, Puglia ;Italy;Italia;01/05/2016
Italy;Italia;Port-au-Prince;Haiti;Haití;01/08/2016
Spain;España;;Vietnam;Vietnam;22/02/2017
Spain;España;valle de la Bekaá;Lebanon;Líbano;01/06/2016
Spain;España;Ciudad de Kilkis, Central Macedonia;Greece;Grecia;01/05/2016
Spain;España;Shatila, Beirut;Lebanon;Líbano;01/06/2016
Spain;España;Valencia;Spain;España;22/02/2017
Spain;España;Chimanimani;Zimbabwe;Zimbabwe;01/08/2014
Spain;España;;Morocco;Marruecos;2012
Spain;España;;Morocco;Marruecos;2012
Spain;España;;Morocco;Marruecos;2012
Venezuela;Venezuela;Caracas;Venezuela;Venezuela;23/03/2017
Venezuela;Venezuela;Caracas;Venezuela;Venezuela;23/03/2017
Venezuela;Venezuela;Caracas;Venezuela;Venezuela;23/03/2017
Austria;Austria;Ciudadela Sucre, Soacha;Colombia;Colombia;01/11/2014
Austria;Austria;Ciudadela Sucre, Soacha;Colombia;Colombia;01/11/2014
Spain;España;Soweto;South Africa;Sudáfrica;01/10/2016
Spain;España;Johannesburgo;South Africa;Sudáfrica;01/11/2012
Spain;España;Johannesburgo;South Africa;Sudáfrica;01/10/2016
Spain;España;Sevilla;Spain;España;
Spain;España;Sevilla;Spain;España;
Spain;España;Sevilla;Spain;España;
Spain;España;Morón;Mongolia;Mongolia;2016
Spain;España;Tsagaan nur;Mongolia;Mongolia;2016
Spain;España;Tribu Tsaatan;Mongolia;Mongolia;2016
Albania;Albania;Tirane(Kashar) ;Albania;Albania;23/03/2017
Albania;Albania;Tirane(Kashar) ;Albania;Albania;23/03/2017
Albania;Albania;Tirane(Kashar) ;Albania;Albania;23/03/2017
Spain;España;Santiago de Compostela;Spain;España;23/03/2017
Spain;España;Santiago de Compostela;Spain;España;23/03/2017
Spain;España;Santiago de Compostela;Spain;España;23/03/2017
Bolivia;Bolivia;Cotahuma, La paz;Bolivia;Bolivia;23/03/2017
Bolivia;Bolivia;Cotahuma, La paz;Bolivia;Bolivia;01/08/2012
Bolivia;Bolivia;Alto Tejar ,La Paz;Bolivia;Bolivia;01/05/2010
Spain;España;Hanoi;Vietnam;Vietnam;01/12/2015
Spain;España;Hidalgo;Mexico;México;01/06/2015
Spain;España;Hidalgo;Mexico;México;01/06/2015
Spain;España;Hidalgo;Mexico;México;01/06/2015
Turkey;Turquía;Kuştepe / İstanbul;Turkey;Turquía;
Spain;España;Chittorgarh ;India;India;
Spain;España;Chittorgarh ;India;India;
Spain;España;Jodhpur;India;India;
Colombia;Colombia;Tierra bomba, Cartagena de Indias;Colombia;Colombia;01/02/2010
Colombia;Colombia;Tierra bomba, Cartagena de Indias;Colombia;Colombia;01/02/2010
Colombia;Colombia;Tierra bomba, Cartagena de Indias;Colombia;Colombia;01/02/2010
Colombia;Colombia;Cali ;Colombia;Colombia;01/07/2016
Colombia;Colombia;Cali ;Colombia;Colombia;01/07/2016
Colombia;Colombia;Cali ;Colombia;Colombia;01/07/2016
Italy;Italia;Mumbai;India;India;01/08/2015
Italy;Italia;Nairobi ;Kenya;Kenia;01/09/2014
Italy;Italia;Nairobi ;Kenya;Kenia;01/09/2014
Mexico;México;Pushkar, Rajasthan;India;India;01/03/2014
Mexico;México;Pushkar, Rajasthan;India;India;01/03/2014
Mexico;México;Pushkar, Rajasthan;India;India;01/03/2014
Italy;Italia;Salvador;Brazil;Brasil;01/05/2016
Italy;Italia;Lauro de Freitas;Brazil;Brasil;01/08/2016
Italy;Italia;Rio de Janeiro;Brazil;Brasil;01/08/2016
Italy;Italia;Atenas;Greece;Grecia;01/08/2015
Italy;Italia;Lomè;Togo;Togo;01/09/2015
Spain;España;Hanoi;Vietnam;Vietnam;01/01/2017
Spain;España;Manila ;Philippines;Filipinas;01/01/2017
Spain;España;Hong Kong;China;China;01/01/2017
Colombia;Colombia;Fort Lauderdale;Haiti;Haití;
Colombia;Colombia;Fort Lauderdale;Haiti;Haití;
Colombia;Colombia;Fort Lauderdale;Haiti;Haití;
;;La Habana;Cuba;Cuba;01/10/2016
;;La Habana;Cuba;Cuba;01/10/2016
Sweden;Suecia;Dharavi, Mumbai;India;India;2014
Sweden;Suecia;Dharavi, Mumbai;India;India;2014
Sweden;Suecia;Dharavi, Mumbai;India;India;2014
Spain;España;Mumbai ;India;India;01/12/2016
Spain;España;Mumbai ;India;India;01/12/2016
Spain;España;Mumbai ;India;India;01/12/2016
USA;USA;Ciudad del Cabo;South Africa;Sudáfrica;01/11/2012
USA;USA;Johannesburgo;South Africa;Sudáfrica;01/11/2012
USA;USA;Ciudad del cabo;South Africa;Sudáfrica;01/11/2012
Argentina;Argentina;Merzouga;Mexico;México;01/01/2017
Argentina;Argentina;Merzouga;Mexico;México;01/01/2017
Italy;Italia;El Cairo;Egypt;Egipto;2012
Italy;Italia;El Cairo;Egypt;Egipto;2012
Italy;Italia;El Cairo;Egypt;Egipto;2012
Spain;España;La Argentina, Huila;Colombia;Colombia;14/02/2017
Spain;España;Soacha, Cundinamarca ;Colombia;Colombia;26/02/2017
Iran;Irán;Accra ;Ghana;Ghana;12/09/2016
Iran;Irán;Accra ;Ghana;Ghana;12/09/2016
Iran;Irán;Accra ;Ghana;Ghana;12/09/2016
Spain;España;Malabo. Bioko;Equatorial Guinea ;Guinea Ecuatorial;06/08/2016
Spain;España;Malabo. Bioko;Equatorial Guinea ;Guinea Ecuatorial;28/07/2015
Spain;España;Malabo. Bioko;Equatorial Guinea ;Guinea Ecuatorial;11/07/2015
Argentina;Argentina;The Hamptons, Nueva York;USA;USA;24/07/2016
Brazil;Brasil;Sao Paulo;Brazil;Brasil;30/04/2016
Brazil;Brasil;Outskirts of Alcântara, State of Maranhão;Brazil;Brasil;23/01/2016
Brazil;Brasil;Slum Stilts in São Luís, State of Maranhão;Brazil;Brasil;23/01/2016
Brazil;Brasil;Vila Lulu, a slum in Belém, State of Pará;Brazil;Brasil;07/01/2016
Brazil;Brasil;Made in a favela in the city of Campo Largo;Brazil;Brasil;05/06/2011
Indonesia;Indonesia;Yogyakarta;Indonesia;Indonesia;24/11/2013
Indonesia;Indonesia;Yogyakarta;Indonesia;Indonesia;24/11/2013
Indonesia;Indonesia;Yogyakarta;Indonesia;Indonesia;01/01/2012
Spain;España;Majimoto, Arusha ;Tanzania;Tanzania;09/03/2017
Spain;España;Majimoto, Arusha ;Tanzania;Tanzania;31/08/2016
Bolivia;Bolivia;Santa Cruz, Mercado Abasto;Bolivia;Bolivia;21/03/2017
Bolivia;Bolivia;Santa Cruz, Avenida Cañoto. La Ramada;Bolivia;Bolivia;21/03/2017
Bolivia;Bolivia;Santa Cruz, Mercado Abasto. Avenida Pirai;Bolivia;Bolivia;21/03/2017
Cuba;Cuba;La Habana;Cuba;Cuba;31/12/2016
Cuba;Cuba;La Habana;Cuba;Cuba;31/12/2016
Cuba;Cuba;La Habana;Cuba;Cuba;31/12/2016
Spain;España;Ciudadela en Habana Vieja ;Cuba;Cuba;21/03/2017
Spain;España;Regla, La Habana;Cuba;Cuba;21/03/2017
Spain;España;Ciudadela en Habana Vieja ;Cuba;Cuba;21/03/2017
Peru;Perú ;Lima, Comas;Peru;Perú;2016
Peru;Perú ;Lima, Comas;Peru;Perú;2016
Peru;Perú ;Lima, Comas;Peru;Perú;2016
Spain;España;Sierra Leona;Sierra Leone;Sierra Leona;01/07/2010
Spain;España;Sierra Leona;Sierra Leone;Sierra Leona;01/07/2010
Spain;España;Sierra Leona;Sierra Leone;Sierra Leona;01/07/2010
India;India;Portland;USA;USA;21/08/2016
India;India;Kolkata;India;India;10/08/2013
India;India;Mumbai ;India;India;19/07/2014
Spain;España;Tubigon, Bohol;Philippines;Filipinas;03/03/2015
Spain;España;Ho Chi Minh ;Vietnam;Vietnam;12/07/2016
Spain;España;Sapa;Vietnam;Vietnam;08/07/2016
Spain;España;Barcelona ;Spain;España;21/03/2017
Spain;España;Barcelona ;Spain;España;21/03/2017
Spain;España;Barcelona ;Spain;España;21/03/2017
Netherlands;Holanda;Ahmedabad, Gujarat;India;India;01/05/2011
Netherlands;Holanda;Mumbai;India;India;01/04/2010
Netherlands;Holanda;Ahmedabad, Gujarat;India;India;01/05/2011
France;Francia;La Rinconada De Pamplona Alta, Lima;Peru;Perú;
France;Francia;La Rinconada De Pamplona Alta, Lima;Peru;Perú;
France;Francia;Cerro de Pasco;Peru;Perú;
Portugal;Portugal;Espinho;Portugal;Portugal;20/03/2017
Portugal;Portugal;Espinho;Portugal;Portugal;20/03/2017
Portugal;Portugal;Espinho;Portugal;Portugal;20/03/2017
Argentina;Argentina;Chosica ;Peru;Perú;10/10/2015
Argentina;Argentina;Chosica ;Peru;Perú;10/10/2015
Argentina;Argentina;Puno;Peru;Perú;31/07/2015
Turkey;Turquía;Antalya;Turkey;Turquía;26/02/2017
Turkey;Turquía;Antalya;Turkey;Turquía;26/02/2017
Turkey;Turquía;Antalya;Turkey;Turquía;26/02/2017
Turkey;Turquía;Çanakkale;Turkey;Turquía;
Turkey;Turquía;Istanbul;Turkey;Turquía;
Turkey;Turquía;Çanakkale;Turkey;Turquía;
Portugal;Portugal;Dadaab refugee complex;Kenya;Kenia;01/08/2016
Portugal;Portugal;Dadaab refugee complex;Kenya;Kenia;01/08/2016
Portugal;Portugal;Dadaab refugee complex;Kenya;Kenia;01/08/2016
Germany;Alemania;La Paz;Bolivia;Bolivia;01/01/2015
Germany;Alemania;Bucarest;Romania;Rumanía;01/09/2016
Germany;Alemania;Trujillo;Peru;Perú;01/02/2015
Turkey;Turquía;Zurich;Switzerland;Suiza;16/12/2015
Turkey;Turquía;Zurich;Switzerland;Suiza;16/12/2015
Turkey;Turquía;Zurich;Switzerland;Suiza;16/12/2015
Honduras;Honduras;Caserío El Ocotalio,  San Marcos de Colón. Choluteca;Honduras;Honduras;24/12/2016
Honduras;Honduras;Caserío El Ocotalio,  San Marcos de Colón. Choluteca;Honduras;Honduras;25/12/2016
Honduras;Honduras;Morolica, Choluteca;Honduras;Honduras;10/03/2017
Spain;España;Buenos Aires ;Argentina;Argentina;15/11/2014
Spain;España;Jembesse;Mozambique;Mozambique;01/08/2013
Spain;España;Jembesse;Mozambique;Mozambique;01/08/2013
Spain;España;Juliaca;Peru;Perú;01/10/2015
Spain;España;Ciudad de Dakar;Senegal;Senegal;01/08/2010
Spain;España;Sauraha;Nepal;Nepal;01/08/2013
Spain;España;Ciudad de Dakar;Senegal;Senegal;01/08/2010
Spain;España;La Algameca Chica, Cartagena;Spain;España;24/03/2017
Spain;España;La Algameca Chica, Cartagena;Spain;España;24/03/2017
Spain;España;La Algameca Chica, Cartagena;Spain;España;24/03/2017
Spain;España;Nairobi ;Kenya;Kenia;01/09/2016
Spain;España;Nairobi ;Kenya;Kenia;01/09/2016
Spain;España;Cartagena, Murcia;Spain;España;23/03/2015
Greece;Grecia;El Alto;Bolivia;Bolivia;01/04/2010
Greece;Grecia;Mumbai;India;India;01/01/2015
Greece;Grecia;Govandi, Mumbai;India;India;01/01/2015
Poland;Polonia;Túnez;Tunisia;Túnez;01/08/2016
Poland;Polonia;Túnez;Tunisia;Túnez;01/08/2016
Poland;Polonia;Túnez;Tunisia;Túnez;01/08/2016
Argentina;Argentina;San Juan;Argentina;Argentina;01/01/2017
Argentina;Argentina;San Juan;Argentina;Argentina;01/01/2017
Argentina;Argentina;Valparaíso ;Chile;Chile;01/11/2016
Spain;España;Komarock, Nairobi;Kenya;Kenia;22/02/2017
Spain;España;KomarockTalek, Narok;Kenya;Kenia;08/02/2017
Spain;España;Likoni, Mombasa  ;Kenya;Kenia;15/02/2017
Peru;Perú ;Asentamiento Humano Cantagallo, Rímac, Lima;Peru;Perú;21/11/2016
Peru;Perú ;Asentamiento Humano Cantagallo, Rímac, Lima;Peru;Perú;21/11/2016
Peru;Perú ;Asentamiento Humano Cantagallo, Rímac, Lima;Peru;Perú;21/11/2016
Brazil;Brasil;São Paulo;Brazil;Brasil;25/01/2017
Brazil;Brasil;São Paulo;Brazil;Brasil;16/10/2016
Brazil;Brasil;São Paulo;Brazil;Brasil;16/10/2016
Spain;España;Ouagadougou;Burkina Faso;Burkina Faso;01/08/2014
Slovakia;Eslovaquia;Bratislava;Slovakia;Eslovaquia;01/03/2017
Slovakia;Eslovaquia;Bratislava;Slovakia;Eslovaquia;01/03/2017
Slovakia;Eslovaquia;Bratislava;Slovakia;Eslovaquia;01/03/2017
Spain;España;Granada;Spain;España;08/01/2013
Spain;España;Luang Prabang;Lao;Laos;28/09/2013
Spain;España;Tokio;Japan;Japón;25/09/2012
Spain;España;Arab al Rashaydeh, West Bank;Palestine;Palestina;12/12/2016
Spain;España;Arab al Rashaydeh, West Bank;Palestine;Palestina;20/09/2016
Spain;España;Arab al Rashaydeh, West Bank;Palestine;Palestina;20/09/2016
